Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\CW\CW_PP_55_Das\CW_PP_55_Das_01_Slot1-01_1_12599.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_02_Slot1-02_1_12600.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_03_Slot1-03_1_12601.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_04_Slot1-04_1_12602.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_05_Slot1-05_1_12603.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_06_Slot1-06_1_12604.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_07_Slot1-07_1_12605.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_08_Slot1-08_1_12606.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_09_Slot1-09_1_12607.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_10_Slot1-10_1_12608.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_11_Slot1-11_1_12609.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_12_Slot1-12_1_12610.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_13_Slot1-13_1_12611.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_14_Slot1-14_1_12612.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_15_Slot1-15_1_12613.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_16_Slot1-16_1_12614.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_17_Slot1-17_1_12615.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_18_Slot1-18_1_12616.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_19_Slot1-19_1_12617.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_20_Slot1-20_1_12618.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_21_Slot1-21_1_12619.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_22_Slot1-22_1_12620.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_23_Slot1-23_1_12621.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_24_Slot1-24_1_12622.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_25_Slot1-25_1_12623.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_26_Slot1-26_1_12624.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_27_Slot1-27_1_12625.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_28_Slot1-28_1_12626.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_29_Slot1-29_1_12627.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_30_Slot1-30_1_12628.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_31_Slot1-31_1_12629.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_32_Slot1-32_1_12630.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_33_Slot1-33_1_12631.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_34_Slot1-34_1_12632.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_35_Slot1-35_1_12633.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_36_Slot1-36_1_12634.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_37_Slot1-37_1_12635.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_38_Slot1-38_1_12636.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_39_Slot1-39_1_12637.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_40_Slot1-40_1_12638.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_41_Slot1-41_1_12639.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_42_Slot1-42_1_12640.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_43_Slot1-43_1_12641.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_44_Slot1-44_1_12642.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_45_Slot1-45_1_12643.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_46_Slot1-46_1_12644.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_47_Slot1-47_1_12645.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_48_Slot1-48_1_12646.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_49_Slot1-49_1_12709.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_50_Slot1-50_1_12710.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_51_Slot1-51_1_12663.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_52_Slot1-52_1_12664.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_53_Slot1-53_1_12665.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_54_Slot1-54_1_12666.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_55_Slot1-55_1_12667.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_56_Slot1-56_1_12668.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_57_Slot1-57_1_12669.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_58_Slot1-58_1_12670.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_59_Slot1-59_1_12671.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_60_Slot1-60_1_12672.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_61_Slot1-61_1_12673.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_62_Slot1-62_1_12674.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_63_Slot1-63_1_12675.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_64_Slot1-64_1_12676.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_65_Slot1-65_1_12677.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_66_Slot1-66_1_12678.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_67_Slot1-67_1_12679.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_68_Slot1-68_1_12680.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_69_Slot1-69_1_12681.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_70_Slot1-70_1_12682.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_71_Slot1-71_1_12683.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_72_Slot1-72_1_12684.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_73_Slot1-73_1_12685.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_74_Slot1-74_1_12686.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_75_Slot1-75_1_12687.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_76_Slot1-76_1_12688.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_77_Slot1-77_1_12689.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_78_Slot1-78_1_12690.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_79_Slot1-79_1_12691.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_80_Slot1-80_1_12692.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_81_Slot1-81_1_12693.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_82_Slot1-82_1_12694.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_83_Slot1-83_1_12695.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_84_Slot1-84_1_12696.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_85_Slot1-85_1_12697.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_86_Slot1-86_1_12698.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_87_Slot1-87_1_12699.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_88_Slot1-88_1_12700.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_89_Slot1-89_1_12701.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_90_Slot1-90_1_12702.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_91_Slot1-91_1_12703.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_92_Slot1-92_1_12704.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_93_Slot1-93_1_12705.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_94_Slot1-94_1_12706.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_95_Slot1-95_1_12707.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_96_Slot1-96_1_12708.d
P04424;P04424-2	P04424;P04424-2;P04424-3	ARLY_HUMAN	ASL	Argininosuccinate lyase		2596.4	3679.37			2406.21	4104.99	3212.22		2073.69	4265.93	2264.59	3002.6	3289.88	3293.76	3956.31	3685.74	3586.01	3996.4	3507.29	3683.32	3939.55	5280.68	4707.74	2086.3	2792.35	2336.57			3535.61	2631.44	3647.76		3151.66	1958.22	2364.65	2501.66	3184.59	3148.14	2212.47	3013.3	2862.58	3906.07			2612.19	2755.4	3537.86	2196.84	2292.72	3250.79	1858.55	2475.53	2472.41	1916.94	2961.24	2796.02	2226.04	2656.35	2441.59	2758.41	3593.34	3608.96	2205.83	2962.94	3150.22	2266.5	2920.85	2911.59	2945.13	2679.41	2350.79		1861.22	2877.49	3273.44	3450.04	2222.1	2940.64	2444.7	2532.25	2303.07	2429.31	1666.76	2786.43	3295.17	2997.69	2112.54	2257.55	3260.91	2968.45	2222.71	3269.35	2146.83	2732.58	2126.49
P04632	P04632	CPNS1_HUMAN	CAPNS1	Calpain small subunit 1	23255.8	26120.5	24196.7	26072.7	11184.2	25542.1	21106	24710.1	20484.2	15691.5	20727.7	17778.9	26659.6	29339.4	26021.8	33324.8	30563.9	27201.3	30546.4	29621.8	29624.9	24875.9	29077.3	27049.8	8545.05	12451.5	12274.6	10707.7	9371.67	12738.4	11321.5	9390.91	8636.33	9804.21	8868.63	10096.8	10122.8	10989.3	12758.4	10000.5	10460.3	8964.77	10312.9	8345.54	9797.59	10037.2	10793.9	8392.22	8095.83	9688.23	14751.7	9493.64	11749.6	10001	9247.2	11798.6	12683.1	7911.56	10083.6	8139.78	8573.37	9115.15	11746.5	11519.6	9656.71	10348.8	10327	8329.14	10162.8	9456.38	10443.1	10254.9	6732.4	9639.13	10372	9301.2	12721.9	7671.83	11093.3	10199.1	12687.3	8066.45	12436.9	9086.52	6637.65	7213.6	7726.06	7749.32	9632.07	8875.39	9102.68	8577.07	9250.88	8233.92	5685.59	6310.83
P04792	P04792	HSPB1_HUMAN	HSPB1	Heat shock protein beta-1	63435.8	71277.3	80722.8	64044.9	71689.5	86485.5	82818.4	84908.2	76733.4	79920.9	102763	60883.3	80274.2	75619.4	94636.9	103875	96940.6	90920	91740.6	93475.2	95180.5	80037.1	96826.3	58448.1	23749.8	30692.1	31435.3	33403.4	26235.6	33132.3	36213.5	31162.9	28994.7	36099	25292	23143.1	38942.5	36042.1	34660.8	30413.9	30952.7	35200.9	34415.1	28804.2	33909.5	39613	33270.1	20733.6	18927.6	22287.2	27800	20106.3	20436.4	17468.3	16090.6	21444.4	21171.8	20168.4	19645.4	12315.5	19885.3	17800.2	22385.7	17651.5	20990	20676.9	21120.8	17629.5	17419	22605.6	20056.4	15833.2	9148.28	14036.6	21892.4	17026.6	23730.5	15194.4	24837	20376.6	20396.6	18429.3	19565.9	11028.4	11460.4	17266.9	18187.5	19890.3	19480.5	18956.6	14591.8	17426.7	18963.5	14969.1	16748.9	10749.3
P04818	P04818;P04818-2;P04818-3	TYSY_HUMAN	TYMS	Thymidylate synthase	3680.7		4407.46		3660.24	5912.44		5395.49	5208.46	5240.66	7019.09	3401.74	4907.81	5954.57	6343.92	5537.96	6629.45	5313.87	6358.94	5671.37	6008.02	5182.14	6921.9	5349.49		4055.12	3978.52	4200.49	3274.7	3450.04	3865.32	2546.78	2610.03	4745.58	3757.51	3037.45	4106.43	4276.59	3468.24	3594.23	3796.7	3832.83	3752.92	2870.5	3983.36	3867.06	4387.4	3156.83	3230.42	4099.88	4422.35	3261.71	4082.22	3183.51	3359.41	3915.82	4176.54	3009.05	3981.63	3386.45	3526.39	3773.35	5065.47	4548.99	4419.04	3793.67	3518.47	3377.41	4137.63	4072.31	3288.78	3228.06	2971.68	3101.13	4101.43	3614.42	5262.22	3718.01	4949.15	4840.12	2948.34	3914.57	3327.74	3569.02	3060.35	3675.92	3504.16	3781.45	3514.97	4573.08	3785.06	3452.96	3594.91	3305.21	2150.38	3400.01
P04843	P04843	RPN1_HUMAN	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	13925.8	12225.7	16019.9	16718	11394.3	17782.7	16231.2	15150.5	16416.5	12141.1	23314.4	22251.6	18438.3	18469.1	19665.4	17526.5	18739.9	18671.8	17480.7	17848.2	17662.7	17913.7	23925	25753.9	14997.4	17313.4	17737	14602.9	13793.9	16487.6	15450.5	16443.6	14853.9	19236	15973.9	17178.8	22530.6	18695.7	16332.1	16639.1	16653.8	16552.5	15272.2	14230.4	18618	16835.1	20386.8	16792.8	19558.1	20529.3	26360.6	21271.6	20426.6	15866.8	16690.8	20377.2	20691.7	16782.8	19346.1	17574.4	21917.8	19992.4	24863.1	21719.5	21906.5	23026.2	17909.3	18585.8	21825.4	20964.1	19541.3	19505	16161.4	17308.7	20993.9	19323.8	23331	15115.3	20744.7	21673.5	22763.5	20698.3	19854.3	20285	16634.4	19646.7	17266.3	17183.4	18451.5	20912.3	20769.3	20855.6	22438.5	21147.7	19573.8	20183
P04844;P04844-2	P04844;P04844-2	RPN2_HUMAN	RPN2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	23373.4	19586.3	21709.1	19315.4	16671.5	25591.3	21571.1	20523.9	20541.6	23239.6	35327.5	29567.5	28888.7	24586.5	28413.1	26691.8	26152	30779.2	23949.5	25735.3	29134.3	22202.8	32586.6	43736.7	17668.7	21646.9	19507.7	19280.8	15715.6	20796.5	20582.6	18407.1	18895.5	23963.2	24362.8	26223.2	25008.8	23186	17876.3	18137.6	19716.4	18236.2	19037.3	15982.4	27387.5	17978.5	26104.1	26780.2	20872.5	23495.3	23601.1	21435.6	23013.8	16089.1	17996.6	19231.6	24310.9	21132.6	22738.7	23849	23221.1	21968.7	22802.2	23674.9	21337.5	23477.7	20990.2	19649.4	24286.7	24368.9	23464.9	25081.3	19711.3	19590.6	18154.3	18893.1	23289.8	17505.3	23660.9	21052.8	24868.5	25684.7	22570.2	23437.5	19334.1	22510.8	18593.6	19468.9	19570	23955.3	27699.5	24022.6	28383	23052.1	21702.9	23496.6
P04899	P04899;P04899-2;P04899-3;P04899-4;P04899-5;P04899-6	GNAI2_HUMAN	GNAI2	Guanine nucleotide-binding protein G(i) subunit alpha-2	8828.44	6020.48	10652.3	8133.8	6338.45	12581	8272.78	13709.8	11189	10518.1	17806.1	13583.1	13676.6	11075.9	13264	13346.7	13662.4	15398.1	12059.9	13412.7	12672.4	11076.7	14371.3	14750.7	9248.48	11488.9	10363.1	9167.69	9208.62	9903.73	10991.7	9872.51	9728.06	11401.8	10887	10369.7	11018.3	10955.5	11456.3	10373.4	11482.9	10899.1	10392.2	8263.8	10040.2	8189.83	13363.9	9731.33	11369	12546.6	14196.8	11076	11901.6	10236.4	7673.35	10957	10764.2	9580.41	10720.1	9402.04	11542.6	12289.9	15108.1	10332.3	12275.9	11814.8	11287	9623.6	10938.7	12667.9	10593.2	11095.2	10800.1	11660	9725.11	13914.9	16279.3	8785.87	12272.8	9937.93	14385.8	11338.3	10506.6	10722.1	10295.5	12103.9	12385.9	12680.9	11880	11613	11514.8	9903.03	13055.9	10414.7	9236.19	9867.15
P04899;P08754	P63096;P63096-2;P04899;P04899-2;P04899-3;P04899-5;P04899-6;P08754	GNAI2_HUMAN;GNAI3_HUMAN	GNAI2;GNAI3	Guanine nucleotide-binding protein G(i) subunit alpha-2		2552.03		1057.01	1681.02																	952.011											1032.01								1447.01								716.008																															952.01											1301.01	1383.01				
P04899;P08754;P19087;Q5JWF2;Q5JWF2-2	P19087;P63092;P63092-2;P63092-3;P63092-4;A8MTJ3;P63096;P04899;P04899-4;P08754;P38405;P38405-2;P09471;P09471-2;Q5JWF2;Q5JWF2-2;P11488	GNAI2_HUMAN;GNAI3_HUMAN;GNAS1_HUMAN;GNAT2_HUMAN	GNAI2;GNAI3;GNAS;GNAT2	Guanine nucleotide-binding protein G(i) subunit alpha-2	36743.3		41457.3		33817.2	41405.3		43122.3		37652.3			38716.3	41406.3	46787.3		49669.4		43535.3	47446.4			55431.4			35959.3		29079.2	26968.2	35203.3	36715.2			43550.3				40308.3	36540.3						38548.3		43939.3	29572.2	30899.2	39487.3	47640.3	38390.3	47082.3	40340.3	31736.2	42745.3	40440.3	26321.2	37529.3	29488.2	40417.3	33890.2	54753.4	43216.3	51460.4	50989.3	34121.2	34561.2	47782.3	40927.3	39556.3	33578.2	27978.2	32406.2	44841.3	36224.3	54350.4	30956.2	45846.3	45879.3	46956.3	44537.3	36569.2	28609.2	22988.2	32085.2	36014.2	37758.3	38472.3	33439.2	38169.3	33403.3	36779.2	32943.2	27200.2	27876.2
P04899;P08754;P63096;P63096-2	P63096;P63096-2;P04899;P04899-2;P04899-3;P04899-4;P04899-5;P04899-6;P08754;P09471;P09471-2	GNAI1_HUMAN;GNAI2_HUMAN;GNAI3_HUMAN	GNAI1;GNAI2;GNAI3	Guanine nucleotide-binding protein G(i) subunit alpha-2		9511.47	10047.1	10283.6	4375.66	6293.9		8119.48	8048.03	10060	12606.4	10666.9	10063.3	7034.29	5853.81	10071	7945.52	7082.08	6893.69	7132.41	6586.56	7179.68	7319.49	6528.71	9063.32	5931.08	6433.4	7331.2	5273.89	6401.42	7965.44	7017.13	5790.46	8200.25	7757.93	7714.2	8593.36	9293.18	7399.23	8369.3	7811.98	8148.12	8677.99	8078.62	6926.59	7075.74	6372.01	3288.55	9881.08	9726.23	13371.7	9322.47	12417.5	10880	9445.4	11436.4	10347.7	8490.11	10629.4	9182.14	11320	12709.4	13144.2	11461.2	12202.7	13629.8	10188.4	10135.3	10622.4	12335.7	10240.4	9304.38	9783.07	9633.32	10717.6	12749.7	13118.4	8908.22	11906.4	11747.9	9843.74	11727.1	10591.2	11640.6	9828.44	9907.78	10930.8	9111.23	11419.5	9482	12741.5	9762.05	11801.4	11689.4	9823.39	11007.4
P04908;P0C0S8;P20671;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1	Q9BTM1;Q93077;Q99878;Q16777;P04908;P20671;P0C0S8;Q6FI13;Q96KK5;Q7L7L0	H2A1B_HUMAN;H2A1C_HUMAN;H2A1D_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H2A1_HUMAN;H2A3_HUMAN;H2AJ_HUMAN	H2AC12;H2AC14;H2AC17;H2AC25;H2AC6;H2AC7;H2AC8;H2AJ	Histone H2A type 1-B/E	68971.7		40312.5	67205.2	43866.6	36043.3	110874	109108	98312.6	37277.5	100261	18250	74269.6	109424	123735	121254	151752	113498	135973	146043	192462	110000	254036	77436.6	48357.1	97877.5	94447.5	64329	40752.9	110208	145114	63745.7	60987.7	127362	65667.8	77850.8	156043	138560	116809	74469.2	113567	159556	133467	85130.7	135609	124253	129473	38623.7	150775	217580	240015	178886	168002	177911	130038	164902	224970	155649	193678	109691	161008	171300	231480	164010	173792	244736	166103	168950	218032	209692	180986	94687.2	77326.8	145699	253227	207759	265072	182250	239990	223660	286684	223156	198080	100416	99098.1	131139	198803	225086	183262	205616	127416	160826	183424	170365	111229	95888.1
P05023;P05023-4	P05023;P05023-2;P05023-3;P05023-4	AT1A1_HUMAN	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1	37035.3	30747.6	40876.5	25975.7	28748.6	46224.7	29824.4	39449	41871.8	37791.5	52009.8	52632	45612.1	40377.6	46689.5	45501.8	43928.7	48453.8	42274.9	42094.4	45267.1	36376.8	49419.5	65358.2	40450.1	47774.1	39013.9	38706.9	37421.7	42080.1	38164.1	35129.6	39012.6	41643	44521.6	45130.9	49886.4	42614	38922.7	39156.4	42031.2	38779.3	39780.6	35241.7	45718.8	35264.3	46563.5	42818.4	53589.3	59442.5	57007.5	51700.4	49459.8	43893.1	47221.2	45717.9	49312.7	48500.9	48150.4	46152.5	58241.5	54707.9	57873.1	59405.1	54941.3	56522.7	50274.7	48397.9	53389.8	56452.5	54362.6	51193.8	48017.9	48528	44570.7	48768.7	56242.1	44893.2	50388.1	50737.9	53541.5	53950.5	50875.8	53501.2	51379.3	52423.1	52713.5	48869.9	47739.2	62321	59741.3	58580.8	61671.5	57094.6	54267	50873.2
P05023;P05023-4;P20648;P50993	P05023;P05023-2;P05023-3;P05023-4;P13637;P13637-2;P13637-3;Q13733;P50993;P54707;P54707-2;P20648	AT1A1_HUMAN;AT1A2_HUMAN;ATP4A_HUMAN	ATP1A1;ATP1A2;ATP4A	Sodium/potassium-transporting ATPase subunit alpha-1	9565.83	8781.85	9361.23	12365.5	11200.7	11668.6	10623.3	8050.54	9989.22	11828.7	11419.4	14999	10538.2	7375.95	9973.02	9740.06	9999.36	10955.5	8423.28	8251.09	10712.4	8190.32	10293.1	13915.2	8295.65	10252.6	8785.91	7799.33	9889.97	7991.79	7718.31	6192.88	7677.78	10159.4	6470.41	9559.77	8678.54	9962.89	7728.43	6907.98	7694	6670.97	6470.41	6924.19	9324.76	7740.59	10337.7	8585.35	11805.6	13207.7	12734.1	11042.9	13583.8	10737.4	9918.66	10449.2	13299.3	11770	11479.4	13259.8	17075.7	12807.5	15510.2	16211.1	15152.1	15673.6	12779.1	11505.2	14007.9	15054.4	15111.8	12452.8	11242.1	11385.3	12281.6	12462.9	14543.4	12883	12992	12689.7	11807.7	14603.8	14391	14260	10599.7	12256.7	12538.5	12131.2	11274.7	15503	12701.1	12778.8	11341.3	12613.3	12627.9	12875.4
P05023;P05023-4;P50993	P05023;P05023-2;P05023-3;P05023-4;P13637;P13637-2;P13637-3;Q13733;P50993	AT1A1_HUMAN;AT1A2_HUMAN	ATP1A1;ATP1A2	Sodium/potassium-transporting ATPase subunit alpha-1	17673	19980.2	30046.1	11572.6	14839	22801.6	14660.3	23660.3	23008.3	20106.4	33864.8	25065.3	24386.9	29597.7	28904.1	30856.1	31603.5	32206.8	33368.5	31920.5	31477.4	23790.1	33678.2	43198.9	25376.9	29104.5	23337.9	29737.5	27175.2	28414.2	28860.3	25684.2	21775.6	27609.9	28357.4	26407.7	31844.6	27238.4	25584.8	23177.4	29460.2	22539.6	23513.3	22420.1	29187.1	22829.4	28041.5	28728.5	27481.3	29252.8	31737.4	30958.3	25403.1	24512.1	26354.8	25578.8	30013.1	25141.6	28501.4	26996.7	37655.7	31676.8	34340.8	34089.4	31189.4	28428.7	30655.5	27353.5	27922	31044.2	27332.4	27374.1	25202.7	26931.3	28679.9	29311.8	34252.9	23184.8	27771.5	24290.6	31901.1	30750.4	26081.1	29526.1	24410.1	27311.2	32594.5	28760.5	32412.3	34391.8	35494.5	31317.3	32944.2	30811.5	24035.5	29303.2
P05089;P05089-2	P05089;P05089-2	ARGI1_HUMAN	ARG1	Arginase-1	5166.41	4778.54	5554.1		2834.2		2416.28		3013.63				2913.11				5656.49	4623.89	4179.68	3945.92	5509.02	4250.43	3852.09	5600.79	2409.11			2023.12		4011.31	2237.44			3868.91	6256.85	2304.77	2465.74							2387.22			4077.58	9519.28		2563.43				3314.49	2659.88			1776.24	3265.29	2398.76	2997.47				2317.77	2092.65	3887.13		3166.78	3374.37		3542.04	2498.12	2539.04	5467.2	2960.41		3585.91				4043.07	2206.9		4192.25	3285.89								2608.51	2142.99	1364.26
P05090	P05090	APOD_HUMAN	APOD	Apolipoprotein D						4116.03																											20938.2								3551.03																																																							
P05091	P05091;P05091-2	ALDH2_HUMAN	ALDH2	Aldehyde dehydrogenase, mitochondrial	8337.02	11942.5	13464.9	4566.59	5493.31	17072	6904.2	13606.5	12563.8	10751.3	13634.3	8017.16	17544.4	13419.7	15317.8	16904.8	13218.9	17347.6	13777.5	13730	14620.7	11589.1	14049.2	14086.7	9729.72	13315.8	11427.2	12591.2	11917.2	13700.4	12577	12645.9	11782.6	12407.1	10434	9806.35	11709.9	11477.8	10780.9	11504.2	11978.2	13149	12575.8	12369.1	13538.8	10353.2	11278.7	7930.39	12924.2	13743.7	17029.6	15566.8	14379.6	15662.3	14482.1	15368.2	14463	12779.9	13403.3	11992	12942.3	13469.8	15576.7	13699.6	14857	15192.9	14066.3	14504.6	14007.6	14652.3	13738	13071.1	11388.8	11895.2	12261.9	13103.8	15139.8	12163.1	14863.3	14731.5	15527.8	14867.3	13867.7	11651.2	10393.9	11186.3	12301.7	12207.2	13320.1	13457.8	12679.6	13013.1	12023	12892.1	10786.8	10781.3
P05109	P05109	S10A8_HUMAN	S100A8	Protein S100-A8			3990.54							9494.18			2180.44												2295.36												6855.65										2548.61	1033.54		21041.6				2217.41			2186.64									3081.9	69395.7					6282.9	4385.66		2154.52							2478.36														
P05114	P05114	HMGN1_HUMAN	HMGN1	Non-histone chromosomal protein HMG-14	3650.03	4110.03	3964.03	2983.02	1582.01						1842.02			465.003	1047.01		1350.01		613.005				2016.02				860.006	969.007	695.006		765.007			1533.01			873.007	1726.01	1318.01	875.007		987.007	1003.01			1142.01	803.006		830.006	2186.02	1390.01	715.005	721.005		1072.01		1843.01	940.007	1269.01	941.007		896.007	1031.01		1565.01	1443.01	1186.01	1142.01	630.005		1052.01			1244.01	965.007		2039.01	623.004	1724.01	1075.01	1646.01	1185.01				776.005	1061.01	1154.01	1109.01	662.004	1434.01		1370.01			
P05141	P05141	ADT2_HUMAN	SLC25A5	ADP/ATP translocase 2		16118.7	35841		11022.7	33901.7	3184.02	29269.1	29631.2	6514.63	21500.1	23883	40424.5	49271	39367.4	41196.9	32392.8	42262	55605.2	43045.9	49412.4	16144.5	39157.6	58598.9	14154.8	23849.8	22791	20589.6	20141.3	31667.9	22531.1	19881	11464.3	11887.9	25611.9	19644.3	9204.27	12343.9	12671.4	12189.9	11561.2	10943.1	14115.6	15468	33706.6	10088.8	32250.9	28107.4	20721.1	19973.7	29243.6	25499.1	24773.3	25992.8	24712	25500.5	20013.8	23369.5	25245.6	25195.8	20820.5	23328.4	25196.4	21180.3	23234	30197.5	22947.7	25965	27696.2	24697	28422.8	26631.5	21535.4	22209.1	18851	23243.4	22182	18265.9	20395.6	24247.8	28152.5	26678.4	23208.2	28003.2	15998.9	18262.8	18537.5	18029.1	15142.6	24229.5	22908.2	21454.2	22252.4	23081.3	18097.6	24144.8
P05141;P12235;P12236	P12235;Q9H0C2;P05141;P12236	ADT1_HUMAN;ADT2_HUMAN;ADT3_HUMAN	SLC25A4;SLC25A5;SLC25A6	ADP/ATP translocase 2		4735.03	21827.2		18992.2	41309.3	5288.04	59082.7	55263.5	22210.2	46450.3	38459.3	69333.6	67315.5	74013.6	73683.6	75432.6	71355.6	72938.6	71080.6	77335.6	61925.5	91586.7	95189.7	30694.3	42668.3	42524.3	39665.3	41998.3	47859.3	47026.4	38786.3	45475.3	53711.4	58055.5	53935.4	43083.3	45756.3	43563.3	43883.3	49058.4	38870.3	44470.3	41890.3	53211.4	35504.3	54244.4	49263.4	38173.9	37083.3	49163.4	39575.3	42018.4	33663.3	38611.3	36499.3	47193.3	44846.3	41613.3	40093.3	37380.3	36356.3	41443.3	48063.3	42170.3	44452.3	41142.3	39841.3	43233.3	45450.3	40507.3	41366.3	28122.2	34584.3	37544.3	40574.3	42674.3	38598.3	46334.3	37239.3	43305.3	43912.3	43544.3	40160.3	27905.2	32946.2	33411.2	35085.3	39134.9	38952.3	44812.6	44982.3	46921.2	39855.3	35210.3	39192.3
